CODE,NAME,TITLE,CONTENT
Afghanistan,Afghanistan,Afghanistan,Afghanistan
Albania,Albania,Albania,Albania
Algeria,Algeria,Algeria,Algeria
Andorra,Andorra,Andorra,Andorra
Angola,Angola,Angola,Angola
Antigua &amp; Deps,Antigua &amp; Deps,Antigua &amp; Deps,Antigua &amp; Deps
Argentina,Argentina,Argentina,Argentina
Armenia,Armenia,Armenia,Armenia
Australia,Australia,Australia,Australia
Austria,Austria,Austria,Austria
Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan
Bahamas,Bahamas,Bahamas,Bahamas
Bafrain,Bahrain,Bafrain,Bahrain
Bangladesh,Bangladesh,Bangladesh,Bangladesh
Barbados,Barbados,Barbados,Barbados
Belarus,Belarus,Belarus,Belarus
Belgium,Belgium,Belgium,Belgium
Belize,Belize,Belize,Belize
Benin,Benin,Benin,Benin
Bhutan,Bhutan,Bhutan,Bhutan
Bolivia,Bolivia,Bolivia,Bolivia
Bosnia Herzegovina,Bosnia Herzegovina,Bosnia Herzegovina,Bosnia Herzegovina
Botswana,Botswana,Botswana,Botswana
Brazil,Brazil,Brazil,Brazil
Brunei,Brunei,Brunei,Brunei
Bulgaria,Bulgaria,Bulgaria,Bulgaria
Burkina,Burkina,Burkina,Burkina
Burundi,Burundi,Burundi,Burundi
Cambodia,Cambodia,Cambodia,Cambodia
Cameroon,Cameroon,Cameroon,Cameroon
Canada,Canada,Canada,Canada
Cape Verde,Cape Verde,Cape Verde,Cape Verde
Central African Rep,Central African Rep,Central African Rep,Central African Rep
Chad,Chad,Chad,Chad
Chile,Chile,Chile,Chile
China,China,China,China
Colombia,Colombia,Colombia,Colombia
Comoros,Comoros,Comoros,Comoros
Congo,Congo,Congo,Congo
Congo Democratic,Congo Democratic R,Congo Democratic,Congo Democratic R
Costa Rica,Costa Rica,Costa Rica,Costa Rica
Croatia,Croatia,Croatia,Croatia
Cuba,Cuba,Cuba,Cuba
Cyprus,Cyprus,Cyprus,Cyprus
Czech Republic,Czech Republic,Czech Republic,Czech Republic
Denmark,Denmark,Denmark,Denmark
Djibouti,Djibouti,Djibouti,Djibouti
Dominica,Dominica,Dominica,Dominica
Dominican Republic,Dominican Republic,Dominican Republic,Dominican Republic
East Timor,East Timor,East Timor,East Timor
Ecuador,Ecuador,Ecuador,Ecuador
Egypt,Egypt,Egypt,Egypt
El Salvador,El Salvador,El Salvador,El Salvador
Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea
Eritrea,Eritrea,Eritrea,Eritrea
Estonia,Estonia,Estonia,Estonia
Ethiopia,Ethiopia,Ethiopia,Ethiopia
Fiji,Fiji,Fiji,Fiji
Finland,Finland,Finland,Finland
France,France,France,France
Gabon,Gabon,Gabon,Gabon
Gambia,Gambia,Gambia,Gambia
Georgia,Georgia,Georgia,Georgia
Germany,Germany,Germany,Germany
Ghana,Ghana,Ghana,Ghana
Greece,Greece,Greece,Greece
Grenada,Grenada,Grenada,Grenada
Guatemala,Guatemala,Guatemala,Guatemala
Guinea,Guinea,Guinea,Guinea
Guinea Bissau,Guinea-Bissau,Guinea Bissau,Guinea-Bissau
Guyana,Guyana,Guyana,Guyana
Haiti,Haiti,Haiti,Haiti
Honduras,Honduras,Honduras,Honduras
Hungary,Hungary,Hungary,Hungary
Iceland,Iceland,Iceland,Iceland
India,India,India,India
Indonesia,Indonesia,Indonesia,Indonesia
Iran,Iran,Iran,Iran
Irag,Iraq,Irag,Iraq
Ireland Republic,Ireland {Republic},Ireland Republic,Ireland {Republic}
Israel,Israel,Israel,Israel
Italy,Italy,Italy,Italy
Ivory Coast,Ivory Coast,Ivory Coast,Ivory Coast
Jamaica,Jamaica,Jamaica,Jamaica
Japan,Japan,Japan,Japan
Jordan,Jordan,Jordan,Jordan
Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan
Kenya,Kenya,Kenya,Kenya
Kiribati,Kiribati,Kiribati,Kiribati
Korea North,Korea North,Korea North,Korea North
Korea South,Korea South,Korea South,Korea South
Kosovo,Kosovo,Kosovo,Kosovo
Kuwait,Kuwait,Kuwait,Kuwait
Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan
Laos,Laos,Laos,Laos
Lativia,Latvia,Lativia,Latvia
Lebanon,Lebanon,Lebanon,Lebanon
Lesotho,Lesotho,Lesotho,Lesotho
Liberia,Liberia,Liberia,Liberia
Libya,Libya,Libya,Libya
Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein
Lithuania,Lithuania,Lithuania,Lithuania
Luxembourg,Luxembourg,Luxembourg,Luxembourg
Macedonia,Macedonia,Macedonia,Macedonia
Madagascar,Madagascar,Madagascar,Madagascar
Malawi,Malawi,Malawi,Malawi
Malaysia,Malaysia,Malaysia,Malaysia
Maldives,Maldives,Maldives,Maldives
Mali,Mali,Mali,Mali
Malta,Malta,Malta,Malta
Majoshall Islands,Majoshall Islands,Majoshall Islands,Majoshall Islands
Mauritania,Mauritania,Mauritania,Mauritania
Mauritius,Mauritius,Mauritius,Mauritius
Mexico,Mexico,Mexico,Mexico
Micronesia,Micronesia,Micronesia,Micronesia
Moldova,Moldova,Moldova,Moldova
Monaco,Monaco,Monaco,Monaco
Mongolia,Mongolia,Mongolia,Mongolia
Montenegro,Montenegro,Montenegro,Montenegro
Morocco,Morocco,Morocco,Morocco
Mozambique,Mozambique,Mozambique,Mozambique
Myanmar {Burma},Myanmar - {Burma},Myanmar {Burma},Myanmar - {Burma}
Namibia,Namibia,Namibia,Namibia
Nauru,Nauru,Nauru,Nauru
Nepal,Nepal,Nepal,Nepal
Netherlands,Netherlands,Netherlands,Netherlands
New Zealand,New Zealand,New Zealand,New Zealand
Nicaragua,Nicaragua,Nicaragua,Nicaragua
Niger,Niger,Niger,Niger
Nigeria,Nigeria,Nigeria,Nigeria
Norway,Norway,Norway,Norway
Oman,Oman,Oman,Oman
Pakistan,Pakistan,Pakistan,Pakistan
Palau,Palau,Palau,Palau
Panama,Panama,Panama,Panama
Papua New Guinea,Papua New Guinea,Papua New Guinea,Papua New Guinea
Paraguay,Paraguay,Paraguay,Paraguay
Peru,Peru,Peru,Peru
Philipines,Philippines,Philipines,Philippines
Poland,Poland,Poland,Poland
Portugal,Portugal,Portugal,Portugal
Qatar,Qatar,Qatar,Qatar
Romania,Romania,Romania,Romania
Russian Federation,Russian Federation,Russian Federation,Russian Federation
Rwanda,Rwanda,Rwanda,Rwanda
St Kitts &amp; Nevis,St Kitts &amp; Nevis,St Kitts &amp; Nevis,St Kitts &amp; Nevis
St Lucia,St Lucia,St Lucia,St Lucia
Saint Vincent,Saint Vincent &amp; the,Saint Vincent,Saint Vincent &amp; the
Samoa,Samoa,Samoa,Samoa
San Marino,San Marino,San Marino,San Marino
Sao Tome &amp; Principe,Sao Tome &amp; Principe,Sao Tome &amp; Principe,Sao Tome &amp; Principe
Saudi Arabia,Saudi Arabia,Saudi Arabia,Saudi Arabia
Senegal,Senegal,Senegal,Senegal
Serbia,Serbia,Serbia,Serbia
Seychelles,Seychelles,Seychelles,Seychelles
Sierra Leone,Sierra Leone,Sierra Leone,Sierra Leone
Singapore,Singapore,Singapore,Singapore
Slovakia,Slovakia,Slovakia,Slovakia
Slovenia,Slovenia,Slovenia,Slovenia
Solomon Islands,Solomon Islands,Solomon Islands,Solomon Islands
Somalia,Somalia,Somalia,Somalia
South Africa,South Africa,South Africa,South Africa
Spain,Spain,Spain,Spain
Sri Lanka,Sri Lanka,Sri Lanka,Sri Lanka
Sudan,Sudan,Sudan,Sudan
Suriname,Suriname,Suriname,Suriname
Swaziland,Swaziland,Swaziland,Swaziland
Sweden,Sweden,Sweden,Sweden
Switzerland,Switzerland,Switzerland,Switzerland
Syria,Syria,Syria,Syria
Taiwan,Taiwan,Taiwan,Taiwan
Tajikistan,Tajikistan,Tajikistan,Tajikistan
Tanzania,Tanzania,Tanzania,Tanzania
Thailand,Thailand,Thailand,Thailand
Togo,Togo,Togo,Togo
Tonga,Tonga,Tonga,Tonga
Trinidad &amp; Tobago,Trinidad &amp; Tobago,Trinidad &amp; Tobago,Trinidad &amp; Tobago
Tunisia,Tunisia,Tunisia,Tunisia
Turkey,Turkey,Turkey,Turkey
Turkmenistan,Turkmenistan,Turkmenistan,Turkmenistan
Tuvalu,Tuvalu,Tuvalu,Tuvalu
Uganda,Uganda,Uganda,Uganda
Ukraine,Ukraine,Ukraine,Ukraine
United Arab Emirate,United Arab Emirate,United Arab Emirate,United Arab Emirate
United Kingdom,United Kingdom,United Kingdom,United Kingdom
United States,United States,United States,United States
Uruguay,Uruguay,Uruguay,Uruguay
Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan
Vanuatu,Vanuatu,Vanuatu,Vanuatu
Vatican City,Vatican City,Vatican City,Vatican City
Venezuela,Venezuela,Venezuela,Venezuela
Vietnam,Vietnam,Vietnam,Vietnam
Yemen,Yemen,Yemen,Yemen
Zambia,Zambia,Zambia,Zambia
Zibambwe,Zimbabwe,Zibambwe,Zimbabwe
