CODE,NAME,TITLE,CONTENT
1,Essay,Essay,Essay
2,Term Paper,Term Paper,Term Paper
3,Research Paper,Research Paper,Research Paper
4,Coursework,Coursework,Coursework
5,Book Report,Book Report,Book Report
6,Book Review,Book Review,Book Review
7,Movie Review,Movie Review,Movie Review
8,Dissertation,Dissertation,Dissertation
9,Thesis,Thesis,Thesis
10,Thesis Proposal,Thesis Proposal,Thesis Proposal
11,Research Proposal,Research Proposal,Research Proposal
12,Dissertation Chapter - Abstract,Dissertation Chapter - Abstract,Dissertation Chapter - Abstract
13,Dissertation Chapter - Introduction Chapter,Dissertation Chapter - Introduction Chapter,Dissertation Chapter - Introduction Chapter
14,Dissertation Chapter - Literature Review,Dissertation Chapter - Literature Review,Dissertation Chapter - Literature Review
15,Dissertation Chapter - Methodology,Dissertation Chapter - Methodology,Dissertation Chapter - Methodology
16,Dissertation Chapter - Results,Dissertation Chapter - Results,Dissertation Chapter - Results
17,Dissertation Chapter - Discussion,Dissertation Chapter - Discussion,Dissertation Chapter - Discussion
18,Dissertation Services - Editing,Dissertation Services - Editing,Dissertation Services - Editing
19,Dissertation Services - Proofreading,Dissertation Services - Proofreading,Dissertation Services - Proofreading
20,Formatting,Formatting,Formatting
21,Admission Services - Admission Essay,Admission Services - Admission Essay,Admission Services - Admission Essay
22,Admission Services - Scholarship Essay,Admission Services - Scholarship Essay,Admission Services - Scholarship Essay
23,Admission Services - Personal Statement,Admission Services - Personal Statement,Admission Services - Personal Statement
24,Admission Services - Editing,Admission Services - Editing,Admission Services - Editing
25,Editing,Editing,Editing
26,Proofreading,Proofreading,Proofreading
27,Case Study,Case Study,Case Study
28,Lab Report,Lab Report,Lab Report
29,Speech Presentation,Speech Presentation,Speech Presentation
30,Math Problem,Math Problem,Math Problem
31,Article,Article,Article
32,Article Critique,Article Critique,Article Critique
33,Annotated Bibliography,Annotated Bibliography,Annotated Bibliography
34,Reaction Paper,Reaction Paper,Reaction Paper
35,PowerPoint Presentation,PowerPoint Presentation,PowerPoint Presentation
36,Statistics Project,Statistics Project,Statistics Project
37,Multiple Choice Questions (None-Time-Framed),Multiple Choice Questions (None-Time-Framed),Multiple Choice Questions (None-Time-Framed)
38,Other (Not listed),Other (Not listed),Other (Not listed)
