CODE,NAME,TITLE,CONTENT
10,Art,Art,Art
12,&nbsp;&nbsp;Architecture,&nbsp;&nbsp;Architecture,&nbsp;&nbsp;Architecture
15,&nbsp;&nbsp;Dance,&nbsp;&nbsp;Dance,&nbsp;&nbsp;Dance
17,&nbsp;&nbsp;Design Analysis,&nbsp;&nbsp;Design Analysis,&nbsp;&nbsp;Design Analysis
13,&nbsp;&nbsp;Drama,&nbsp;&nbsp;Drama,&nbsp;&nbsp;Drama
16,&nbsp;&nbsp;Movies,&nbsp;&nbsp;Movies,&nbsp;&nbsp;Movies
18,&nbsp;&nbsp;Music,&nbsp;&nbsp;Music,&nbsp;&nbsp;Music
11,&nbsp;&nbsp;Paintings,&nbsp;&nbsp;Paintings,&nbsp;&nbsp;Paintings
14,&nbsp;&nbsp;Theatre,&nbsp;&nbsp;Theatre,&nbsp;&nbsp;Theatre
112,Biology,Biology,Biology
52,Business,Business,Business
111,Chemistry,Chemistry,Chemistry
102,Communications and Media,Communications and Media,Communications and Media
105,&nbsp;&nbsp;Advertising,&nbsp;&nbsp;Advertising,&nbsp;&nbsp;Advertising
107,&nbsp;&nbsp;Communication Strategies,&nbsp;&nbsp;Communication Strategies,&nbsp;&nbsp;Communication Strategies
103,&nbsp;&nbsp;Journalism,&nbsp;&nbsp;Journalism,&nbsp;&nbsp;Journalism
104,&nbsp;&nbsp;Public Relations,&nbsp;&nbsp;Public Relations,&nbsp;&nbsp;Public Relations
115,Creative writing,Creative writing,Creative writing
53,Economics,Economics,Economics
60,&nbsp;&nbsp;Accounting,&nbsp;&nbsp;Accounting,&nbsp;&nbsp;Accounting
61,&nbsp;&nbsp;Case Study,&nbsp;&nbsp;Case Study,&nbsp;&nbsp;Case Study
58,&nbsp;&nbsp;Company Analysis,&nbsp;&nbsp;Company Analysis,&nbsp;&nbsp;Company Analysis
62,&nbsp;&nbsp;E-Commerce,&nbsp;&nbsp;E-Commerce,&nbsp;&nbsp;E-Commerce
59,&nbsp;&nbsp;Finance,&nbsp;&nbsp;Finance,&nbsp;&nbsp;Finance
57,&nbsp;&nbsp;Investment,&nbsp;&nbsp;Investment,&nbsp;&nbsp;Investment
63,&nbsp;&nbsp;Logistics,&nbsp;&nbsp;Logistics,&nbsp;&nbsp;Logistics
64,&nbsp;&nbsp;Trade,&nbsp;&nbsp;Trade,&nbsp;&nbsp;Trade
87,Education,Education,Education
93,&nbsp;&nbsp;Application Essay,&nbsp;&nbsp;Application Essay,&nbsp;&nbsp;Application Essay
89,&nbsp;&nbsp;Education Theories,&nbsp;&nbsp;Education Theories,&nbsp;&nbsp;Education Theories
88,&nbsp;&nbsp;Pedagogy,&nbsp;&nbsp;Pedagogy,&nbsp;&nbsp;Pedagogy
90,&nbsp;&nbsp;Teacher's Career,&nbsp;&nbsp;Teacher's Career,&nbsp;&nbsp;Teacher's Career
67,Engineering,Engineering,Engineering
9,English,English,English
24,Ethics,Ethics,Ethics
36,History,History,History
38,&nbsp;&nbsp;African-American Studies,&nbsp;&nbsp;African-American Studies,&nbsp;&nbsp;African-American Studies
37,&nbsp;&nbsp;American History,&nbsp;&nbsp;American History,&nbsp;&nbsp;American History
42,&nbsp;&nbsp;Asian Studies,&nbsp;&nbsp;Asian Studies,&nbsp;&nbsp;Asian Studies
41,&nbsp;&nbsp;Canadian Studies,&nbsp;&nbsp;Canadian Studies,&nbsp;&nbsp;Canadian Studies
44,&nbsp;&nbsp;East European Studies,&nbsp;&nbsp;East European Studies,&nbsp;&nbsp;East European Studies
45,&nbsp;&nbsp;Holocaust,&nbsp;&nbsp;Holocaust,&nbsp;&nbsp;Holocaust
40,&nbsp;&nbsp;Latin-American Studies,&nbsp;&nbsp;Latin-American Studies,&nbsp;&nbsp;Latin-American Studies
39,&nbsp;&nbsp;Native-American Studies,&nbsp;&nbsp;Native-American Studies,&nbsp;&nbsp;Native-American Studies
43,&nbsp;&nbsp;West European Studies,&nbsp;&nbsp;West European Studies,&nbsp;&nbsp;West European Studies
47,Law,Law,Law
49,&nbsp;&nbsp;Criminology,&nbsp;&nbsp;Criminology,&nbsp;&nbsp;Criminology
48,&nbsp;&nbsp;Legal Issues,&nbsp;&nbsp;Legal Issues,&nbsp;&nbsp;Legal Issues
7,Linguistics,Linguistics,Linguistics
2,Literature,Literature,Literature
4,&nbsp;&nbsp;American Literature,&nbsp;&nbsp;American Literature,&nbsp;&nbsp;American Literature
5,&nbsp;&nbsp;Antique Literature,&nbsp;&nbsp;Antique Literature,&nbsp;&nbsp;Antique Literature
6,&nbsp;&nbsp;Asian Literature,&nbsp;&nbsp;Asian Literature,&nbsp;&nbsp;Asian Literature
3,&nbsp;&nbsp;English Literature,&nbsp;&nbsp;English Literature,&nbsp;&nbsp;English Literature
116,&nbsp;&nbsp;Shakespeare Studies,&nbsp;&nbsp;Shakespeare Studies,&nbsp;&nbsp;Shakespeare Studies
54,Management,Management,Management
56,Marketing,Marketing,Marketing
51,Mathematics,Mathematics,Mathematics
94,Medicine and Health,Medicine and Health,Medicine and Health
99,&nbsp;&nbsp;Alternative Medicine,&nbsp;&nbsp;Alternative Medicine,&nbsp;&nbsp;Alternative Medicine
97,&nbsp;&nbsp;Healthcare,&nbsp;&nbsp;Healthcare,&nbsp;&nbsp;Healthcare
101,&nbsp;&nbsp;Nursing,&nbsp;&nbsp;Nursing,&nbsp;&nbsp;Nursing
95,&nbsp;&nbsp;Nutrition,&nbsp;&nbsp;Nutrition,&nbsp;&nbsp;Nutrition
100,&nbsp;&nbsp;Pharmacology,&nbsp;&nbsp;Pharmacology,&nbsp;&nbsp;Pharmacology
96,&nbsp;&nbsp;Sport,&nbsp;&nbsp;Sport,&nbsp;&nbsp;Sport
78,Nature,Nature,Nature
85,&nbsp;&nbsp;Agricultural Studies,&nbsp;&nbsp;Agricultural Studies,&nbsp;&nbsp;Agricultural Studies
113,&nbsp;&nbsp;Anthropology,&nbsp;&nbsp;Anthropology,&nbsp;&nbsp;Anthropology
86,&nbsp;&nbsp;Astronomy,&nbsp;&nbsp;Astronomy,&nbsp;&nbsp;Astronomy
83,&nbsp;&nbsp;Environmental Issues,&nbsp;&nbsp;Environmental Issues,&nbsp;&nbsp;Environmental Issues
79,&nbsp;&nbsp;Geography,&nbsp;&nbsp;Geography,&nbsp;&nbsp;Geography
80,&nbsp;&nbsp;Geology,&nbsp;&nbsp;Geology,&nbsp;&nbsp;Geology
28,Philosophy,Philosophy,Philosophy
110,Physics,Physics,Physics
29,Political Science,Political Science,Political Science
21,Psychology,Psychology,Psychology
108,Religion and Theology,Religion and Theology,Religion and Theology
22,Sociology,Sociology,Sociology
65,Technology,Technology,Technology
71,&nbsp;&nbsp;Aeronautics,&nbsp;&nbsp;Aeronautics,&nbsp;&nbsp;Aeronautics
70,&nbsp;&nbsp;Aviation,&nbsp;&nbsp;Aviation,&nbsp;&nbsp;Aviation
72,&nbsp;&nbsp;Computer Science,&nbsp;&nbsp;Computer Science,&nbsp;&nbsp;Computer Science
73,&nbsp;&nbsp;Internet,&nbsp;&nbsp;Internet,&nbsp;&nbsp;Internet
75,&nbsp;&nbsp;IT Management,&nbsp;&nbsp;IT Management,&nbsp;&nbsp;IT Management
77,&nbsp;&nbsp;Web Design,&nbsp;&nbsp;Web Design,&nbsp;&nbsp;Web Design
114,Tourism,Tourism,Tourism
